Land;	Gruppe;	Fifa Points;
Deutschland;	A;	1644.21;
Schottland;	A;	1497.46;
Ungarn;	A;	1532.2;
Schweiz;	A;	1616.41;
Spanien;	B;	1727.5;
Kroatien;	B;	1721.07;
Italien;	B;	1724.6;
Albanien;	B;	1375.1;
Slowenien;	C;	1461.55;
D�nemark;	C;	1602.72;
Serbien;	C;	1514.2;
England;	C;	1794.9;
Polen;	D;	1531.49;
Niederlande;	D;	1742.29;
�steirreich;	D;	1554.86;
Frankreich;	D;	1849.59;
Rum�nien;	E;	1468.17;
Ukraine;	E;	1568.86;
Belgien;	E;	1795.23;
Slowakei;	E;	1461.55;
T�rkei;	F;	1495.94;
Georgien;	F;	1333.76;
Portugal;	F;	1748.11;
Tschechien;	F;	1501.47;
